,Topic,Platform,Name,Description,link,Unnamed: 5
0,Новости,RT,Выступление Лаврова на «Примаковских чтениях» — LIVE,Прямая трансляция. В Центре международной торговли проходит очередной ежегодный международный форум «Примаковские чтения». Основная тема — «Новые вызовы мировому порядку». Участие в заседании принимает министр иностранных дел России Сергей Лавров.,https://rutube.ru/video/66a31720e166ef8a075c195576cd0db7/,
1,Новости,RT,Путин - Байден | Саммит в Женеве | Прямой эфир | Эксклюзив | Соловьёв LIVE,"В Женеве встречаются Владимир Путин и Джо Байден, переговоры лидеров России и США пройдут на вилле Ла Гранж. В прямом эфире следим за ходом переговоров и обсуждаем сегодняшние события.",https://rutube.ru/video/01b6bedd4d37b807e73b122a8b93e2d9/,
2,Новости,RT,В Санкт-Петербурге задержали блогера Юрия Хованского по подозрению в оправдании терроризма,"Блогера и рэпера Юрия Хованского задержали в Санкт-Петербурге. Он подозревается в публичном оправдании терроризма и призывах к террористической деятельности из-за песни про «Норд-Ост», которую исполнил год назад на одним из стримов. Сейчас блогеру может грозить до 7 лет лишения свободы. Хованский свою вину признал и раскаялся.",https://rutube.ru/video/c72bb27557181ec141d3f82110e1dad2/,
3,Новости,YT,"Сергей Лавров принимает участие в ""Примаковских чтениях""","#Прямосейчас Сергей Лавров принимает участие в заседании международного научно-экспертного форума ""Примаковские чтения"".

Видео: ТАСС/Ruptly/Institute of World Economy and International Relations

Подписывайтесь на ТАСС: http://www.youtube.com/c/TASSagency/?...

Наш сайт: https://tass.ru/
Мы ВКонтакте: https://vk.com/tassagency
Мы в Facebook: https://www.facebook.com/tassagency/
Мы в Instagram: https://www.instagram.com/tass_agency/
Мы в Одноклассниках: https://ok.ru/tassagency
Мы в Twitter: https://twitter.com/tass_agency
Мы в Telegram: https://t.me/tass_agency
Мы в Viber: https://vb.me/tass_agency

#Лавров #Примаков #ПримаковскиеЧтения #СергейЛавров #ГлаваМИДРФ #Дипломатия
",,
4,Новости,YT,Лавров: у РФ нет завышенных ожиданий от встречи Путина и Байдена,"Министр иностранных дел Сергей Лавров выступил перед участниками форума ""Примаковские чтения"". В этом году там обсуждают современные вызовы мировому порядку. Одна из самых молодых международных площадок для обсуждения - это 7-й по счету форум - стала одной из самых авторитетных в мире. Всего в Центр международной торговли приехали около 200 человек. Ведущие места на ""Примаковских чтениях"" заняли вопросы, касающиеся вызовов мировому порядку: через политику двойных стандартов, через Интернет, через нарушение договоров о вооружениях, обвинения по принципу highly likely - когда нет речи о доказательствах. Министр иностранных дел Сергей Лавров в удаленном формате почти полтора часа беседовал с участниками ""Примаковских чтений"". Отвечая на вопрос о предстоящей встрече президентов России и США, Лавров еще раз подчеркнул: по поводу будущего диалога у России пока ""нет завышенных ожиданий"". Но все-таки Путину и Байдену есть что обсудить с глазу на глаз. Сергей Лавров: ""Работа продолжается, ждать осталось недолго. Думаю, скоро все прояснится, и мы будем заинтересованы в позитивных результатах саммита, но, как говорится, для танго нужны двое. А если танцует кто-то брейк-данс, то это, наверное, уже сложнее получается"". Как отметил Лавров, диалог будет более конструктивным, если США не поведут его по привычке с ""позиции претензии"". На поверхности много тем. Америка при Трампе в одностороннем порядке отказалась от Договора о ракетах средней и малой дальности, продолжая обвинять Москву в том, что она разместила в Калининградской области систему ""Искандер"". Но ведь никто не доказал, что нарушаются условия договора. Россия готова пригласить западных коллег на свою территорию, но есть условие. Сергей Лавров: ""Мы приглашаем вас посетить Калининградскую область и увидеть собственными глазами те самые ""Искандеры"", а взамен мы хотим, чтобы наши специалисты посетили базы противоракетной обороны, которые создаются в Румынии и Польше"". Также обсуждалась тема коронавируса. Как отметил Лавров, многие страны решили не подключаться к общему противостоянию, замкнувшись в себе, в то время как Россия делится вакциной со всеми, а в Индии наладила производство ""Спутника V"". Борьба с ковидом не должна носить политический характер, именно это сейчас тормозит борьбу с инфекцией. На вопрос о судьбе доллара в России Лавров частично повторил то, что недавно сказал президент на экономическом форуме в Петербурге. Россия от этой валюты не собирается полностью отказываться, хотя и нацелена на дедолларизацию экономики. Также он обратил внимание на популярность криптовалюты. В целом, как отметил Сергей Лавров, принципы современной внешней политики были заложены еще Евгением Примаковым, в честь которого и проводится международный форум. По формированию концепции многополярного мира тот в свое время высказывался не раз.",,
5,Новости,YT,"СРОЧНО ""Ждать осталось не долго!"" Лавров сделал откровенное признание перед встреча Путина и Байдена","ПОМОЩЬ КАНАЛУ 💸 : https://www.donationalerts.com/r/live...
https://sobe.ru/na/podderzhat_kanal_f...

#санкции #лавров #путин #трамп #сша #россия #байден #политика #экономика #новости #срочно #макрон #искандеры #москва


примаковские чтения 2021, сергей лавров, встреча путин байден, женева 16 июня встреча путина и байдена, мид рф, международные отношения, президент россии, президент сша, джо байден, калининград, искандеры, владимир путин, президент рф, геополитика, политика, 

Станьте спонсором канала, и вы получите доступ к эксклюзивным бонусам. Подробнее:
https://www.youtube.com/channel/UCF2k...

Наш канал на TikTok - https://www.tiktok.com/@livecorner

Подпишитесь на канал ФактУра! Плюс https://www.youtube.com/user/livecorn...

Поддержите существование и развитие канала ФактУра! Плюс здесь - https://money.yandex.ru/to/4100161805... СПАСИБО

Присоединяйтесь к нам ВКонтакте - https://vk.com/livecorner



Настоятельно рекомендуем к просмотру:

Ссылка #6 https://www.youtube.com/watch?v=p2QMV...
Ссылка #12 https://www.youtube.com/watch?v=r_mD9...

Уважаемые зрители и подписчики нашего канала!

FaktUra! Plus - информационно-развлекательный агрегатор Youtube-канал. Подписывайтесь, комментируйте, ставьте лайки и делитесь нашими роликами в соцсетях.

Если есть желание поддержать проект не только вышеперечисленными манипуляциями, но и финансово, то вот наши реквизиты:

https://www.donationalerts.com/r/live...

Яндекс кошелёк:

41001618057417 или по ссылке
https://money.yandex.ru/to/4100161805...

Со своей стороны в благодарность готовы разместить вашу информацию в рекламных блоках в наших видеороликах.

Спасибо за содействие!",,
6,Новости,YT,Лавров указал на неготовность Запада к честному диалогу с Россией,"Запад не готов к честному диалогу с Россией. Об этом на форуме ""Примаковские чтения"" заявил Сергей Лавров, выступая по видеосвязи. По словам главы МИД РФ, сейчас мировая система переживает очень противоречивый этап развития, а западные державы продвигают бесперспективную концепцию миропорядка, которая противоречит международному праву. Лавров подчеркнул, что Россия, в отличие от стран Запада, не пытается распространить свою повестку по всему миру. Сергей Лавров: ""Устав ООН - основная часть международного права, его фундамент. А наши западные коллеги, когда уходят от использования термина ""международное право"" и применяют выражение ""меры и порядок, основанные на правилах"", они имеют в виду совсем другое. Они имеют в виду выработку в западноцентричных форматах неких концепций, подходов, которые потом выдаются за идеал мультилатерализма, за истину в последней инстанции. Такие действия предпринимаются и в сфере химического оружия, и в сфере журналистики, в сфере кибербезопасности, в сфере международного гуманитарного права"". Научный форум ""Примаковские чтения"" стартовал в Москве накануне. В этом году в нем участвуют эксперты из 25 стран. Из-за коронавирусных ограничений конференция проходит в смешанном формате: часть спикеров выступают в режиме онлайн. Главными темами дискуссий стали проблемы и конфликты, которые угрожают мировому порядку, а также способы их урегулирования.",,
7,Новости,YT,"Выступление С.Лаврова на международном форуме «Примаковские чтения», Москва, 9 июня 2021 года","Выступление и ответы на вопросы Министра иностранных дел Российской Федерации С.В.Лаврова на международном форуме «Примаковские чтения» в режиме видеоконференции, Москва, 9 июня 2021 года

МИД России в «Твиттере» (русская версия) https://twitter.com/MID_RF 

МИД России в ""VK"" (русская версия) https://vk.com/mid 

МИД России в ""Facebook"" https://www.facebook.com/MIDRussia 

МИД России в ""Instagram"" https://www.instagram.com/mid.rus/ 

МИД России в ""Flickr"" https://www.flickr.com/photos/mfarussia/

МИД России в""TikTok"" https://www.tiktok.com/@midrussia

МИД России в ""RuTube"" https://rutube.ru/channel/23489815
",,
8,Новости,YT,Первая встреча Путина и Байдена. О чем говорили президенты России и США в Женеве,"Подпишитесь на канал РБК:
https://www.youtube.com/user/tvrbcnew...
---------------------
Владимир Путин и Джо Байден встретились на саммите в Женеве. Это была их первая встреча в статусе президентов России и США. Переговоры продлились около четырех часов, а после них Путин и Байден провели пресс-конференции — каждый отдельно. Какие темы обсуждали — в материале РБК.
---------------------
#РБК #Путин #Байден
---------------------
Сайт РБК: https://www.rbc.ru/
Получайте новости РБК в социальных сетях:
Facebook: https://www.facebook.com/rbc.ru
Twitter: https://twitter.com/ru_rbc
ВКонтакте: https://vk.com/rbc
Одноклассники: http://ok.ru/rbc
РедакцияРБК
",,
9,Новости,YT,Байден и Путин: о чем говорили президенты в Женеве | СПЕЦЭФИР,На женевской вилле La Grange завершились переговоры президента США Джо Байдена и России Владимира Путина. Это первая встреча политиков после избрания Байдена президентом США. Президенты по итогам саммита дали отдельные пресс-конференции.,,
